Date,Open,High,Low,Close,Volume,Adj Close,PE,PE_Rank,PEG,ROE,Asset_Type,Name,Is_Core,Is_Tech
2020-01-02,145.23,146.78,144.56,145.89,8920000,145.89,0,0,0,0,黄金,SPDR Gold Shares,false,false
2020-01-03,147.12,148.45,146.23,147.78,9560000,147.78,0,0,0,0,黄金,SPDR Gold Shares,false,false
2020-01-06,148.56,150.23,147.89,149.45,10230000,149.45,0,0,0,0,黄金,SPDR Gold Shares,false,false
2020-02-03,150.23,152.12,149.45,151.34,8670000,151.34,0,0,0,0,黄金,SPDR Gold Shares,false,false
2020-03-02,152.67,156.78,150.23,155.12,15890000,155.12,0,0,0,0,黄金,SPDR Gold Shares,false,false
2020-03-16,148.34,155.67,145.23,152.45,22560000,152.45,0,0,0,0,黄金,SPDR Gold Shares,false,false
2020-03-23,152.12,158.45,150.67,156.78,18920000,156.78,0,0,0,0,黄金,SPDR Gold Shares,false,false
2020-04-01,158.23,162.34,156.78,160.45,12340000,160.45,0,0,0,0,黄金,SPDR Gold Shares,false,false
2020-06-01,165.67,168.45,164.23,167.12,9560000,167.12,0,0,0,0,黄金,SPDR Gold Shares,false,false
2020-09-01,185.23,189.67,183.45,187.34,11230000,187.34,0,0,0,0,黄金,SPDR Gold Shares,false,false
2020-12-01,172.34,175.67,170.23,173.45,8920000,173.45,0,0,0,0,黄金,SPDR Gold Shares,false,false
2021-01-04,178.56,182.34,177.12,180.23,9870000,180.23,0,0,0,0,黄金,SPDR Gold Shares,false,false
2021-03-01,162.45,165.67,160.23,163.78,10560000,163.78,0,0,0,0,黄金,SPDR Gold Shares,false,false
2021-06-01,168.23,171.45,166.78,169.56,8450000,169.56,0,0,0,0,黄金,SPDR Gold Shares,false,false
2021-09-01,165.67,168.23,163.45,166.12,7890000,166.12,0,0,0,0,黄金,SPDR Gold Shares,false,false
2021-12-01,168.45,172.34,166.78,170.23,8560000,170.23,0,0,0,0,黄金,SPDR Gold Shares,false,false
2022-01-03,172.56,175.67,170.23,173.45,9120000,173.45,0,0,0,0,黄金,SPDR Gold Shares,false,false
2022-03-01,182.34,189.67,180.12,187.23,14560000,187.23,0,0,0,0,黄金,SPDR Gold Shares,false,false
2022-06-01,172.45,175.67,169.23,173.12,10890000,173.12,0,0,0,0,黄金,SPDR Gold Shares,false,false
2022-09-01,158.23,162.45,155.67,160.34,12340000,160.34,0,0,0,0,黄金,SPDR Gold Shares,false,false
2022-12-01,168.56,172.34,166.23,170.45,9870000,170.45,0,0,0,0,黄金,SPDR Gold Shares,false,false
2023-01-03,175.23,178.67,173.45,176.78,8560000,176.78,0,0,0,0,黄金,SPDR Gold Shares,false,false
2023-03-01,182.45,186.78,180.23,185.12,10230000,185.12,0,0,0,0,黄金,SPDR Gold Shares,false,false
2023-06-01,178.67,182.34,176.23,180.45,8920000,180.45,0,0,0,0,黄金,SPDR Gold Shares,false,false
2023-09-01,175.23,178.56,172.45,176.12,9560000,176.12,0,0,0,0,黄金,SPDR Gold Shares,false,false
2023-12-01,188.45,192.67,186.23,190.34,8120000,190.34,0,0,0,0,黄金,SPDR Gold Shares,false,false
