Date,Open,High,Low,Close,Volume,Adj Close,PE,PE_Rank,PEG,ROE,Asset_Type,Name,Is_Core,Is_Tech
2020-01-02,323.54,324.89,322.53,324.87,80580000,324.87,22.5,65,1.8,15,ETF,S&P 500 ETF,true,false
2020-01-03,321.16,323.64,321.16,322.41,90450000,322.41,22.3,64,1.8,15,ETF,S&P 500 ETF,true,false
2020-01-06,320.49,323.73,320.49,321.73,85630000,321.73,22.2,63,1.8,15,ETF,S&P 500 ETF,true,false
2020-02-03,322.57,325.22,322.57,324.25,88150000,324.25,22.8,68,1.9,15,ETF,S&P 500 ETF,true,false
2020-03-02,296.44,304.93,289.21,302.76,212800000,302.76,20.1,45,1.6,14,ETF,S&P 500 ETF,true,false
2020-03-16,241.73,252.00,234.30,239.41,355200000,239.41,16.2,18,1.3,12,ETF,S&P 500 ETF,true,false
2020-03-23,228.08,236.36,218.28,222.17,367400000,222.17,15.1,12,1.2,11,ETF,S&P 500 ETF,true,false
2020-04-01,247.64,253.47,242.80,247.69,197200000,247.69,17.5,25,1.4,12,ETF,S&P 500 ETF,true,false
2020-06-01,305.32,310.40,304.51,310.33,96520000,310.33,21.8,58,1.7,14,ETF,S&P 500 ETF,true,false
2020-09-01,349.31,356.07,349.31,352.60,98450000,352.60,25.5,78,2.0,16,ETF,S&P 500 ETF,true,false
2020-12-01,366.02,369.58,365.52,366.02,67890000,366.02,27.2,85,2.1,16,ETF,S&P 500 ETF,true,false
2021-01-04,368.55,369.14,364.96,368.55,89120000,368.55,28.1,88,2.2,17,ETF,S&P 500 ETF,true,false
2021-03-01,386.52,392.52,386.52,391.77,78560000,391.77,29.5,91,2.3,17,ETF,S&P 500 ETF,true,false
2021-06-01,420.04,422.27,418.77,422.10,62350000,422.10,31.2,93,2.4,18,ETF,S&P 500 ETF,true,false
2021-09-01,453.14,454.59,449.36,454.44,55670000,454.44,28.8,87,2.2,18,ETF,S&P 500 ETF,true,false
2021-12-01,455.81,460.52,455.22,460.22,68430000,460.22,26.5,82,2.0,17,ETF,S&P 500 ETF,true,false
2022-01-03,476.30,477.85,473.26,477.71,72350000,477.71,25.2,78,1.9,17,ETF,S&P 500 ETF,true,false
2022-03-01,434.99,438.55,427.18,434.89,112300000,434.89,22.1,62,1.7,16,ETF,S&P 500 ETF,true,false
2022-06-01,411.89,413.78,393.87,408.81,145600000,408.81,19.5,42,1.5,15,ETF,S&P 500 ETF,true,false
2022-09-01,396.23,399.91,384.13,389.80,98750000,389.80,18.2,35,1.4,14,ETF,S&P 500 ETF,true,false
2022-12-01,401.12,408.21,398.55,407.28,78920000,407.28,19.8,48,1.5,15,ETF,S&P 500 ETF,true,false
2023-01-03,384.37,386.43,380.00,380.82,89650000,380.82,18.5,38,1.4,14,ETF,S&P 500 ETF,true,false
2023-03-01,397.72,400.80,395.52,400.30,82340000,400.30,20.2,52,1.6,15,ETF,S&P 500 ETF,true,false
2023-06-01,426.16,428.48,424.11,427.92,68790000,427.92,22.8,68,1.8,16,ETF,S&P 500 ETF,true,false
2023-09-01,450.92,454.34,448.70,452.10,62150000,452.10,24.1,75,1.9,16,ETF,S&P 500 ETF,true,false
2023-12-01,456.22,459.87,454.33,459.10,58320000,459.10,23.5,72,1.8,16,ETF,S&P 500 ETF,true,false
