Date,Open,High,Low,Close,Volume,Adj Close,PE,PE_Rank,PEG,ROE,Asset_Type,Name,Is_Core,Is_Tech
2022-01-03,151.83065005039745,153.9766782971734,151.41120854676208,153.9279022216797,7155200,153.9279022216797,105.24,100.0,1.8,15,ETF,VanEck Semiconductor ETF,false,true
2022-01-04,154.61072765413073,155.43499423836758,149.82120564161858,153.12802124023438,11485600,153.12802124023438,105.78,100.0,1.8,15,ETF,VanEck Semiconductor ETF,false,true
2022-01-05,151.9330934697128,153.0890135954684,147.78737983609886,147.8751678466797,16288400,147.8751678466797,109.54,100.0,1.8,15,ETF,VanEck Semiconductor ETF,false,true
2022-01-06,147.7532385485294,149.98704010364727,146.20712464341491,149.34324645996094,13102400,149.34324645996094,108.47,100.0,1.8,15,ETF,VanEck Semiconductor ETF,false,true
2022-01-07,149.06034170266125,149.54319061626606,144.4610420725223,144.80245971679688,13858800,144.80245971679688,111.87,100.0,1.8,15,ETF,VanEck Semiconductor ETF,false,true
2022-01-10,142.90518690028264,145.2219092135125,140.33484981850376,144.98779296875,14787800,144.98779296875,111.72,100.0,1.8,15,ETF,VanEck Semiconductor ETF,false,true
2022-01-11,144.59760459308,148.0653647249474,143.47582929005694,147.91416931152344,9939800,147.91416931152344,109.51,100.0,1.8,15,ETF,VanEck Semiconductor ETF,false,true
2022-01-12,149.1627826040954,150.41138780356027,147.6069342259812,149.1774139404297,11784600,149.1774139404297,108.59,100.0,1.8,15,ETF,VanEck Semiconductor ETF,false,true
2022-01-13,152.1720807932905,153.54748586501705,146.16811302709965,146.5826873779297,16958600,146.5826873779297,110.51,100.0,1.8,15,ETF,VanEck Semiconductor ETF,false,true
2022-01-14,145.57796048477624,149.9236456673635,145.2853188953459,149.6895294189453,11727200,149.6895294189453,108.21,100.0,1.8,15,ETF,VanEck Semiconductor ETF,false,true
2022-01-18,147.1533260811283,147.19722008805812,142.71010350647128,142.99298095703125,12497400,142.99298095703125,113.28,100.0,1.8,15,ETF,VanEck Semiconductor ETF,false,true
2022-01-19,144.3196118259291,145.19265455555683,138.94970319441512,139.0423583984375,17539000,139.0423583984375,116.5,100.0,1.8,15,ETF,VanEck Semiconductor ETF,false,true
2022-01-20,140.18853859749933,141.23229023715547,134.77472071583367,134.78448486328125,16708800,134.78448486328125,120.18,100.0,1.8,15,ETF,VanEck Semiconductor ETF,false,true
2022-01-21,134.1260192365743,137.54013608986892,132.42384288271523,132.5408935546875,26521800,132.5408935546875,122.22,100.0,1.8,15,ETF,VanEck Semiconductor ETF,false,true
2022-01-24,129.83399473732098,134.31624370012545,125.46391437556882,134.2382049560547,25135200,134.2382049560547,120.67,100.0,1.8,15,ETF,VanEck Semiconductor ETF,false,true
2022-01-25,130.438787271556,132.04829370962182,128.20497082888264,128.92193603515625,16935400,128.92193603515625,125.65,100.0,1.8,15,ETF,VanEck Semiconductor ETF,false,true
2022-01-26,132.88231655732497,136.02330537988598,128.71220758757508,130.7801971435547,20527400,130.7801971435547,123.86,100.0,1.8,15,ETF,VanEck Semiconductor ETF,false,true
2022-01-27,132.09218770383805,132.3653307730136,124.82988044010443,125.1956787109375,22088600,125.1956787109375,129.39,100.0,1.8,15,ETF,VanEck Semiconductor ETF,false,true
