Date,Open,High,Low,Close,Volume,Adj Close,PE,PE_Rank,PEG,ROE,Asset_Type,Name,Is_Core,Is_Tech
2022-01-03,450.5414636127441,452.0076562143779,448.2239780690106,451.8752136230469,72668200,451.8752136230469,42.17,100.0,1.8,15,ETF,SPDR S&P 500,true,false
2022-01-04,453.3034834561525,454.02239141771696,449.86032307936296,451.7237854003906,71178700,451.7237854003906,42.19,100.0,1.8,15,ETF,SPDR S&P 500,true,false
2022-01-05,451.35491502576446,452.13057588020047,442.9551459366762,443.04974365234375,104538900,443.04974365234375,43.01,100.0,1.8,15,ETF,SPDR S&P 500,true,false
2022-01-06,442.58622998244016,445.35776682155085,440.25924753685416,442.6335144042969,86858900,442.6335144042969,43.05,100.0,1.8,15,ETF,SPDR S&P 500,true,false
2022-01-07,442.6430005573575,443.8253998227985,439.5214491762915,440.8835754394531,85111600,440.8835754394531,43.22,100.0,1.8,15,ETF,SPDR S&P 500,true,false
2022-01-10,437.6768993282456,440.5524733976893,431.90678546000674,440.3349304199219,119362000,440.3349304199219,43.28,100.0,1.8,15,ETF,SPDR S&P 500,true,false
2022-01-11,440.07012698004945,444.4402703281914,437.0620811157376,444.3456726074219,74303100,444.3456726074219,42.89,100.0,1.8,15,ETF,SPDR S&P 500,true,false
2022-01-12,446.086117009949,447.6090622228809,443.57943642604664,445.54693603515625,67605400,445.54693603515625,42.77,100.0,1.8,15,ETF,SPDR S&P 500,true,false
2022-01-13,446.6537054029599,447.3063921299082,438.3769102525567,439.407958984375,91173100,439.407958984375,43.37,100.0,1.8,15,ETF,SPDR S&P 500,true,false
2022-01-14,436.24855229559944,439.9376320291072,435.0283082374195,439.587646484375,95890900,439.587646484375,43.35,100.0,1.8,15,ETF,SPDR S&P 500,true,false
2022-01-18,434.8770031364011,435.08510657220825,430.6865868583265,431.8027648925781,109709100,431.8027648925781,44.13,100.0,1.8,15,ETF,SPDR S&P 500,true,false
2022-01-19,433.3540622278281,434.7540044741665,427.04476708624003,427.319091796875,109357600,427.319091796875,44.6,100.0,1.8,15,ETF,SPDR S&P 500,true,false
2022-01-20,429.2109751047605,433.9311041940373,420.46121968940173,422.58953857421875,122379700,422.58953857421875,45.1,100.0,1.8,15,ETF,SPDR S&P 500,true,false
2022-01-21,421.46381809024535,423.828616436145,414.26538578156715,414.29376220703125,202271200,414.29376220703125,46.0,100.0,1.8,15,ETF,SPDR S&P 500,true,false
2022-01-24,408.6655937906519,416.5640272607591,398.00509159103694,416.05322265625,251783900,416.05322265625,45.8,100.0,1.8,15,ETF,SPDR S&P 500,true,false
2022-01-25,409.6398524787366,415.93967913794035,404.0494653685355,410.9736022949219,167997300,410.9736022949219,46.37,100.0,1.8,15,ETF,SPDR S&P 500,true,false
2022-01-26,416.8856420829711,420.02610174271774,405.66702183195844,409.9425964355469,186391100,409.9425964355469,46.49,100.0,1.8,15,ETF,SPDR S&P 500,true,false
2022-01-27,414.55858457806625,417.70848301575546,406.2250381977337,407.918212890625,149878300,407.918212890625,46.72,100.0,1.8,15,ETF,SPDR S&P 500,true,false
2022-01-28,409.2804410874524,418.0964177287686,404.6832861876728,418.04913330078125,164457400,418.04913330078125,45.58,100.0,1.8,15,ETF,SPDR S&P 500,true,false
2022-01-31,417.3774492101084,425.9285683081596,416.02479145329517,425.5785827636719,152251400,425.5785827636719,44.78,100.0,1.8,15,ETF,SPDR S&P 500,true,false
2022-02-01,426.30693765567827,429.09741136310794,422.76920842520514,428.4541931152344,123155400,428.4541931152344,44.48,100.0,1.8,15,ETF,SPDR S&P 500,true,false
2022-02-02,430.86622401109804,433.34452785977004,428.5487102714171,432.6161804199219,117361000,432.6161804199219,44.05,100.0,1.8,15,ETF,SPDR S&P 500,true,false
2022-02-03,426.5623563990489,428.47310315644444,421.60571921304773,422.4476013183594,118024400,422.4476013183594,45.11,100.0,1.8,15,ETF,SPDR S&P 500,true,false
2022-02-04,422.21113512307284,428.2933900112805,419.8273997309541,424.4340515136719,118454400,424.4340515136719,44.9,100.0,1.8,15,ETF,SPDR S&P 500,true,false
2022-02-07,425.2002486311931,426.6001909007989,421.7381800825274,423.0719299316406,84472900,423.0719299316406,45.04,100.0,1.8,15,ETF,SPDR S&P 500,true,false
2022-02-08,422.5706046938253,427.4799289301471,421.1422570922283,426.55291748046875,81012000,426.55291748046875,44.68,100.0,1.8,15,ETF,SPDR S&P 500,true,false
2022-02-09,430.60144995457046,433.1175991367621,430.40281495436784,432.7959899902344,92589900,432.7959899902344,44.03,100.0,1.8,15,ETF,SPDR S&P 500,true,false
2022-02-10,426.9312545906798,432.95675649430774,423.0151633217596,425.0205078125,140103700,425.0205078125,44.84,100.0,1.8,15,ETF,SPDR S&P 500,true,false
2022-02-11,425.10557629015346,427.1865813329916,415.2018005254466,416.63958740234375,153214600,416.63958740234375,45.74,100.0,1.8,15,ETF,SPDR S&P 500,true,false
2022-02-14,416.12890799397803,417.7180457832857,411.79658063441923,415.2775573730469,123006300,415.2775573730469,45.89,100.0,1.8,15,ETF,SPDR S&P 500,true,false
2022-02-15,419.7328155876255,422.14489845233356,419.2125426099258,421.9746398925781,88482700,421.9746398925781,45.16,100.0,1.8,15,ETF,SPDR S&P 500,true,false
2022-02-16,419.921983869593,423.82863553178055,418.0396135389401,422.4476013183594,84863600,422.4476013183594,45.11,100.0,1.8,15,ETF,SPDR S&P 500,true,false
2022-02-17,419.2504207563761,422.4192566946621,412.81818002832114,413.4235534667969,102259100,413.4235534667969,46.09,100.0,1.8,15,ETF,SPDR S&P 500,true,false
2022-02-18,413.6789397456878,414.937028777914,408.4669432136912,410.7466125488281,132642900,410.7466125488281,46.4,100.0,1.8,15,ETF,SPDR S&P 500,true,false
